didok85;Name;URL;geopos;lod;Linie;Linienname;Betriebspunkt
8515643.0;Gümligen Süd (Abzw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G331.pdf;46.9180897702, 7.52200784971;http://lod.opentransportdata.swiss/didok/8515643;331.0;Bern - Langnau - Wolhusen - Luzern;GUES
8508200.0;Worb SBB;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G331.pdf;46.9285431606, 7.57172589045;http://lod.opentransportdata.swiss/didok/8508200;331.0;Bern - Langnau - Wolhusen - Luzern;WB
8508203.0;Zäziwil;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G331.pdf;46.8969978711, 7.66854758895;http://lod.opentransportdata.swiss/didok/8508203;331.0;Bern - Langnau - Wolhusen - Luzern;ZAE
8516279.0;Schlossberg (Signau);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G331.pdf;46.8904735539, 7.70222011229;http://lod.opentransportdata.swiss/didok/8516279;331.0;Bern - Langnau - Wolhusen - Luzern;SCHG
8508206.0;Emmenmatt;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G331.pdf;46.9623152774, 7.74894807348;http://lod.opentransportdata.swiss/didok/8508206;331.0;Bern - Langnau - Wolhusen - Luzern;EMM
8508207.0;Langnau;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G331.pdf;46.9572729601, 7.81064863402;http://lod.opentransportdata.swiss/didok/8508207;331.0;Bern - Langnau - Wolhusen - Luzern;LN
8508209.0;Wiggen;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G331.pdf;46.8895415825, 7.9278008679;http://lod.opentransportdata.swiss/didok/8508209;331.0;Bern - Langnau - Wolhusen - Luzern;WIG
8508212.0;Hasle LU;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G331.pdf;46.9517407268, 8.07737482032;http://lod.opentransportdata.swiss/didok/8508212;331.0;Bern - Langnau - Wolhusen - Luzern;HAS
8508218.0;Malters;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G331.pdf;47.0441725399, 8.19120597048;http://lod.opentransportdata.swiss/didok/8508218;331.0;Bern - Langnau - Wolhusen - Luzern;MAL
8505041.0;Gütsch (Abzw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G331.pdf;47.0562397859, 8.29182679396;http://lod.opentransportdata.swiss/didok/8505041;331.0;Bern - Langnau - Wolhusen - Luzern;GTS
8500110.0;Soyhières;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G341.pdf;47.3705779423, 7.39395522981;http://lod.opentransportdata.swiss/didok/8500110;341.0;Delémont - Basel SBB - Basel Bad Bf;SOY
8500112.0;Bärschwil;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G341.pdf;47.3864141769, 7.46662037799;http://lod.opentransportdata.swiss/didok/8500112;341.0;Delémont - Basel SBB - Basel Bad Bf;BAER
8500045.0;Gellert;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G341.pdf;47.5591452444, 7.59458004936;http://lod.opentransportdata.swiss/didok/8500045;341.0;Delémont - Basel SBB - Basel Bad Bf;GELL
8516019.0;Spiez (Abzw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G351.pdf;46.687803083, 7.6717443637;http://lod.opentransportdata.swiss/didok/8516019;351.0;Thun - Kandersteg;SPAB
8507479.0;Wengi;http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G351.pdf;46.5765769655, 7.73804717161;http://lod.opentransportdata.swiss/didok/8507479;351.0;Thun - Kandersteg;WEN
8516854.0;Grubi (Spw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G351.pdf;46.5374460789, 7.67786003632;http://lod.opentransportdata.swiss/didok/8516854;351.0;Thun - Kandersteg;GRSP
8516855.0;Fürten (Spw);http://www.fahrplanfelder.ch/fileadmin/fap_pdf_graphic_tt/2017/G351.pdf;46.5374460789, 7.67786003632;http://lod.opentransportdata.swiss/didok/8516855;351.0;Thun - Kandersteg;FUSP
