Name;Didok-Nummer;geopos;lod
Aarau;8502113.0;47.3947604039, 8.05922933775;http://lod.opentransportdata.swiss/didok/8502113
Aesch;8500117.0;47.4753302502, 7.58635074597;http://lod.opentransportdata.swiss/didok/8500117
Airolo;8505201.0;46.543225806, 8.60037675339;http://lod.opentransportdata.swiss/didok/8505201
Schöfflisdorf-Oberweningen;8503317.0;47.510207243, 8.40703697703;http://lod.opentransportdata.swiss/didok/8503317
Schlattingen;8503429.0;47.661989452, 8.75478230763;http://lod.opentransportdata.swiss/didok/8503429
Schüpfheim;8508211.0;46.9483867974, 8.01247429947;http://lod.opentransportdata.swiss/didok/8508211
Rüschlikon;8503201.0;47.3056831182, 8.5480331482;http://lod.opentransportdata.swiss/didok/8503201
Rorschach;8506311.0;47.4769943127, 9.49622954985;http://lod.opentransportdata.swiss/didok/8506311
Rüthi SG;8509401.0;47.2963164389, 9.53496299191;http://lod.opentransportdata.swiss/didok/8509401
Safenwil;8502100.0;47.3210246184, 7.98796580887;http://lod.opentransportdata.swiss/didok/8502100
Satigny;8501003.0;46.2153104823, 6.03752746924;http://lod.opentransportdata.swiss/didok/8501003
Saland;8506009.0;47.3790000082, 8.89395937291;http://lod.opentransportdata.swiss/didok/8506009
Saxon;8501502.0;46.137448107, 7.1852908834;http://lod.opentransportdata.swiss/didok/8501502
St-Gingolph (Suisse);8501428.0;46.3835917721, 6.81783763351;http://lod.opentransportdata.swiss/didok/8501428
St. Gallen St. Fiden;8506303.0;47.4234963687, 9.37681682238;http://lod.opentransportdata.swiss/didok/8506303
Schwerzenbach ZH;8503127.0;47.3832938206, 8.6569776417;http://lod.opentransportdata.swiss/didok/8503127
St-Blaise CFF;8504222.0;47.0301008286, 6.98987120793;http://lod.opentransportdata.swiss/didok/8504222
Steinach;8516271.0;47.4956963226, 9.43650275988;http://lod.opentransportdata.swiss/didok/8516271
St-Imier;8504310.0;47.1530215161, 6.99031877867;http://lod.opentransportdata.swiss/didok/8504310
Sissach;8500026.0;47.4735616869, 7.80870918149;http://lod.opentransportdata.swiss/didok/8500026
Steinen;8505005.0;47.0530393352, 8.61062249434;http://lod.opentransportdata.swiss/didok/8505005
St-Prex;8501036.0;46.4867089798, 6.45000344535;http://lod.opentransportdata.swiss/didok/8501036
Sirnach;8506010.0;47.4558704202, 9.00328344463;http://lod.opentransportdata.swiss/didok/8506010
Walchwil Hörndli;8517112.0;47.1088939684, 8.52943404276;http://lod.opentransportdata.swiss/didok/8517112
Villaz-St-Pierre;8504024.0;46.7218322376, 6.96137771316;http://lod.opentransportdata.swiss/didok/8504024
Tann-Dürnten;8503139.0;47.2770762038, 8.85498143022;http://lod.opentransportdata.swiss/didok/8503139
Wädenswil;8503206.0;47.2262626965, 8.65323408129;http://lod.opentransportdata.swiss/didok/8503206
Villeret;8504309.0;47.1618676205, 7.02195563863;http://lod.opentransportdata.swiss/didok/8504309
Travers;8504215.0;46.9256417519, 6.59838751217;http://lod.opentransportdata.swiss/didok/8504215
Vouvry;8501424.0;46.3371940526, 6.8501479213;http://lod.opentransportdata.swiss/didok/8501424
Vevey;8501200.0;46.4654602162, 6.84887596917;http://lod.opentransportdata.swiss/didok/8501200
Suhr;8502103.0;47.3763661777, 8.08485958203;http://lod.opentransportdata.swiss/didok/8502103
Uzwil;8506208.0;;http://lod.opentransportdata.swiss/didok/8506208
Winterthur Wülflingen;8506043.0;47.4981247953, 8.73533711725;http://lod.opentransportdata.swiss/didok/8506043
Yverdon-Champ Pittet;8504144.0;46.7719409053, 6.63815124358;http://lod.opentransportdata.swiss/didok/8504144
Winterthur Töss;8506044.0;47.4981247953, 8.73533711725;http://lod.opentransportdata.swiss/didok/8506044
Waldibrücke;8502017.0;47.0879044211, 8.28731356998;http://lod.opentransportdata.swiss/didok/8502017
Winterthur;8506000.0;47.4981247953, 8.73533711725;http://lod.opentransportdata.swiss/didok/8506000
Zug Oberwil;8502231.0;47.1543542227, 8.51187149426;http://lod.opentransportdata.swiss/didok/8502231
Zofingen;8502001.0;47.2902125266, 7.96432315639;http://lod.opentransportdata.swiss/didok/8502001
Zäziwil;8508203.0;46.8969978711, 7.66854758895;http://lod.opentransportdata.swiss/didok/8508203
Zollikon;8503100.0;47.2586380292, 8.66459588826;http://lod.opentransportdata.swiss/didok/8503100
